Date,Day of week,Title,Author,Text of poem,Bottom line,questions
11,Th,When My Name is Clyfford,"Sophie March, '19","I am so handsome.
Don’t I look like my dad, when he was twenty and tall and grinning amidst
the green beans of his mother’s garden?
When his hair was short and his hands were calloused and
he was grinning.

Don’t I look like my dad and aren’t I handsome?
I look at the ankles of the boy sitting across from me,
his shoulders.
Do I look like the boy sitting across from me?
I cross my ankles, like him.

Do I look like my dad? 
I am almost twenty-two.
My hair is short and my hands are soft,
but in the summer I will make them hard and calloused.
In the summer the green beans will flower.
In the summer I will look like my dad.",,
12,F,dirty dust (der/die/das),"Ezri Reyes, '22","I live between the fluidity of nothing at all
and vastness of everything ever

Maybe bc there is something !there! in the blackness
(not the darkness).
Where white isn't light
and left is always right. 
I keep myself tucked
in bed and in check,
tightly buckled to an ejected seat
from an escape pod of a rocket-ship. 
When day is just night;
The kids !are! alright. 
I want to be loved
I need to be fucked

I'll buy you some boba with my haircut money",,title lower case?
13,S,Invitation to Love,Paul Laurence Dunbar (1872-1906),"Come when the nights are bright with stars
   Or when the moon is mellow;
Come when the sun his golden bars
   Drops on the hay-field yellow.
Come in the twilight soft and gray,
Come in the night or come in the day,
Come, O love, whene’er you may,
   And you are welcome, welcome.

You are sweet, O Love, dear Love,
You are soft as the nesting dove.
Come to my heart and bring it rest
As the bird flies home to its welcome nest.

Come when my heart is full of grief
   Or when my heart is merry;
Come with the falling of the leaf
   Or with the redd’ning cherry.
Come when the year’s first blossom blows,
Come when the summer gleams and glows,
Come with the winter’s drifting snows,
   And you are welcome, welcome.",,
14,Su,Talisman,Marianne Moore (1887-1972),"Under a splintered mast,
torn from ship and cast
  near her hull,

a stumbling shepherd found
embedded in the ground,
  a sea-gull

of lapis lazuli,
a scarab of the sea,
  with wings spread—

curling its coral feet,
parting its beak to greet
  men long dead.",,
15,M,The Honey-Moon,"Bradley Ralph, '19","Mommy held my hand as we walked up the steps,
“We’re going to the honey-moon,” she said
 in the dark.
“Just me and your dad.”
As the red lights of the Camry disappeared into the night
I cried
while my protectors flew beyond my sight.
Granny held me close in her room, 
as I lay above the covers
Staring out between the iron columns welded to the window,
Up at the moon. 
Eyes tired,  
transfixed upon the sharp cheddar disc that hung 
above and between two dwarfed stars. 
Granny, do you know when they’ll come back? 
“No, baby, I don’t, 
but it won’t be too long.” 
And as I fell asleep, 
I hoped she wasn’t wrong. ",,
16,T,"He would not stay for me, and who can wonder",A. E. Housman (1859-1936),"He would not stay for me, and who can wonder?
  He would not stay for me to stand and gaze.
I shook his hand, and tore my heart in sunder,
  And went with half my life about my ways.",,
17,W,Lining,"Grace Mark, '20","She turned away from herself
And towards the golden lining of the clouds above
Ascending into sunset
Not believing in moonlit silver
 Still she found beauty between dusk and dawn

When she was a girl she played connect the dots with stars
Creating constellations
She waited for her story to be read between the lines

She moved to the mountains so she couldn't be seen on the edge of the horizon 
Where she can reach the clouds from mountain tops
Searching for sunset
As she whispers sweet nothings to thin air
she wills the wind to brush past her cheeks

Still she waits with bated breath 
For the sky to swallow her whole",,
18,Th,If melancholy could have a smell,"Bailey Uptain, '19","it might smell like the end of a candle when it burns itself out.
Or like damp clothes that have been waiting in the washing machine for too long.
Or like a too-ripe banana sitting in a basket among fresh apples.
Or an old hardcover book with water damage.
Or fog at 3 a.m.
Or boiled milk.
Or it might smell like all these things stewed together in a simmering pot.
Maybe I would smell like these things.
My biggest fear would be that maybe,
it wouldn’t smell like anything at all.",,
19,F,El Beso,Angelina Weld Grimke (1880-1958),"Twilight--and you
Quiet--the stars; 
Snare of the shine of your teeth, 
Your provocative laughter, 
The gloom of your hair; 
Lure of you, eye and lip; 
Yearning, yearning, 
Languor, surrender; 
Your mouth, 
And madness, madness, 
Tremulous, breathless, flaming, 
The space of a sigh; 
Then awakening--remembrance, 
Pain, regret--your sobbing; 
And again, quiet--the stars, 
Twilight--and you.",,
20,S,Credo,Alfred Kreymborg (1883-1966),"I sing the will to love:
the will that carves the will to live,
the will that saps the will to hurt,
the will that kills the will to die;
the will that made and keeps you warm,
the will that points your eyes ahead,
the will that makes you give, not get,
a give and get that tell us what you are:
how much a god, how much a human.
I call on you to live the will to love.",,
21,Su,Rain,"Jean Starr Untermeyer, 1886-1970","I have always hated the rain,
And the gloom of grayed skies.
But now I think I must always cherish
Rain-hung leaf and the misty river;
And the friendly screen of dripping green
Where eager kisses were shyly given
And your pipe-smoke made clouds in our damp, close heaven.
 
The curious laggard passed us by,
His wet shoes soughed on the shining walk.
And that afternoon was filled with a blurred glory—
That afternoon, when we first talked as lovers.",,
22,M,To the Cat,"Tian-Ai Aldridge, '19","Stop talking about your mother. 

She’s in the tree which we thought most 
meaningful. 

Still, 

my Murakami’s five pages short, 

in your particular order. 

 

I’d envy the way you trust correctly, 

but you remind me of my father, 

licking legs bald. ",,spaces between lines?
23,T,"Cymbeline, IV. ii. 258-81",William Shakespeare (1864-1616),"Fear no more the heat o’ the sun, 
Nor the furious winter’s rages; 
Thou thy worldly task hast done, 
Home art gone, and ta’en thy wages: 
Golden lads and girls all must, 
As chimney-sweepers, come to dust. 

Fear no more the frown o’ the great; 
Thou art past the tyrant’s stroke; 
Care no more to clothe and eat; 
To thee the reed is as the oak: 
The scepter, learning, physic, must 
All follow this, and come to dust. 

Fear no more the lightning flash, 
Nor the all-dreaded thunder stone; 
Fear not slander, censure rash; 
Thou hast finished joy and moan: 
All lovers young, all lovers must 
Consign to thee, and come to dust. 

No exorciser harm thee! 
Nor no witchcraft charm thee! 
Ghost unlaid forbear thee! 
Nothing ill come near thee! 
Quiet consummation have; 
And renowned be thy grave!

Happy 455th birthday, Shakespeare!","Happy 455th birthday, Shakespeare!",
24,W,duet partner,"Haley Wildhirt, '22","you used to write her duets
just to hear her voice float 
six steps above your baritone,
just to hear her say the words
you’d sugar-spun with love;
little candies to dissolve on
her tongue and absorb into
her bloodstream, which
as far as you knew, was the
most direct path to her heart.

you used to write her duets
laced with pseudonyms of
other girls’ names, girls you
had never met, girls you’d
used to help paint the facade
of who you hoped she was;
a seurat pointillism portrait
that only looked whole from afar.

you used to write her duets
but i was the one who sang them,
the one you trusted to critique,
the one who let the sugar-spun,
candied love dissolve on her tongue
and absorb into her bloodstream,
all while my voice refused to float,
and stayed, a heavy-footed root
stuck in this heavy-hearted earth.",,
25,Th,Sloth,"Stephen Hanley, '20","Sounds are sweeter underwater.
Long sighs diffuse in darkling green
Or drown with light's lost shimmer.
The bloated bodies wash to sea
How crowded now the banks beneath.

i burble neath the silt. it fills my lungs
try laudanum to soothe the songs unsung.
though thrashing churns the surface far above
we sleep eternal buried in the mud.",,
26,F,The Dark Hills,Edwin Arlington Robinson (1869-1935),"Dark hills at evening in the west,
Where sunset hovers like a sound
Of golden horns that sang to rest
Old bones of warriors under ground,
Far now from all the bannered ways
Where flash the legions of the sun,
You fade—as if the last of days
Were fading, and all wars were done.",,
27,S,Prairie Spring,Willa Cather (1873-1947),"Evening and the flat land,
Rich and sombre and always silent;
The miles of fresh-plowed soil,
Heavy and black, full of strength and harshness;
The growing wheat, the growing weeds,
The toiling horses, the tired men;
The long empty roads,
Sullen fires of sunset, fading,
The eternal, unresponsive sky.
Against all this, Youth,
Flaming like the wild roses,
Singing like the larks over the plowed fields,
Flashing like a star out of the twilight;
Youth with its insupportable sweetness,
Its fierce necessity,
Its sharp desire,
Singing and singing,
Out of the lips of silence,
Out of the earthy dusk.",,
28,Su,[into the strenuous briefness],e. e. cummings (1894-1962),"into the strenuous briefness
Life:
handorgans and April
darkness,friends

i charge laughing.
Into the hair-thin tints
of yellow dawn,
into the women-coloured twilight

i smilingly
glide.     I
into the big vermilion departure
swim,sayingly;

(Do you think?)the
i do,world
is probably made
of roses & hello:

(of solongs and,ashes)",,
29,M,Eat Me,"Sydney Parker, '22","The summer air is as thick as warm pudding
Left out overnight on the kitchen counter.
The cicadas are howling.
I wish they would eat me.
If I were consumed entirely, 
Would the cicadas still be snackish enough 
To gnaw on the edges of my soul? 
I wish that they 
Would tear the sinews and fibers
Until there were no more, 
Eating even the innards, 
The bones, the brain, lapping up the fluids, slurping up the juice
Like a child slurps sweet milk from the bowl
At the end of her morning cereal.

But, of course, cicadas are not locusts.
They do not eat like locusts,
Nor like a child shoveling down her birthday cake.
So I bide my time, 
Cicadas howling at me, knowingly,
While I think about them eating me
And ripping my chest open, bones cracking,
Blood and juice flowing.
It’s so sweet, and almost sour,
Acidic like half-rotten berry,
One that you should have tossed out, but ate anyways.
The cicadas howl on in spite of the gory images in my head.
Instead of the hungry bugs, 
Will you sink your teeth into me?",,
30,T,"Song of Myself, 52",Walt Whitman (1819-1892),"The spotted hawk swoops by and accuses me, he complains of my gab and my loitering.

I too am not a bit tamed, I too am untranslatable,
I sound my barbaric yawp over the roofs of the world.

The last scud of day holds back for me,
It flings my likeness after the rest and true as any on the shadow’d wilds,
It coaxes me to the vapor and the dusk.

I depart as air, I shake my white locks at the runaway sun,
I effuse my flesh in eddies, and drift it in lacy jags.

I bequeath myself to the dirt to grow from the grass I love,
If you want me again look for me under your boot-soles.

You will hardly know who I am or what I mean,
But I shall be good health to you nevertheless,
And filter and fibre your blood.

Failing to fetch me at first keep encouraged,
Missing me one place search another,
I stop somewhere waiting for you.",,
